variable,label,pct_na,type
case,Interview number (sequential),0,integer
questnnr,Questionnaire that has been used in the interview,0,factor
started,Time the interview has started (Europe/Berlin),0,numeric
a011_01,"General Rating: En general, calificaría al robot de manera positiva",0.5934959349593496,integer
a011_02,"General Rating: En general, apoyaría la integración de este robot en entornos de atención médica",0.5934959349593496,integer
a012,Use of Robots in Medical Settings: Residual option (negative) or number of selected options,0.5934959349593496,integer
a012_01,Use of Robots in Medical Settings: Hospitales Generales,0.5934959349593496,integer
a012_02,Use of Robots in Medical Settings: Hospitales Pediátricos,0.5934959349593496,integer
a012_03,Use of Robots in Medical Settings: Hospitales Geriátricos,0.5934959349593496,integer
a012_04,Use of Robots in Medical Settings: Hospitales Psiquiátricos,0.5934959349593496,integer
a012_05,Use of Robots in Medical Settings: Hospitales de traumatología y ortopedia,0.5934959349593496,integer
a012_06,"Use of Robots in Medical Settings: Otro campo, ¿cuál?",0.5934959349593496,integer
a012_06a,"Use of Robots in Medical Settings: Otro campo, ¿cuál? (free text)",0.975609756097561,character
a014_01,"Open Questions: ¿Cuáles son sus principales razones para aceptar o rechazar el uso de este robot en tareas de cuidado? Puede referirse a situaciones específicas, sentimientos o expectativas que tenga",0.6016260162601627,character
a014_02,"Open Questions: ¿Ve algún riesgo o preocupación ética en el uso de este robot en el ámbito de la salud? Por favor, explíque su respuesta",0.6016260162601627,character
a014_03,"Open Questions: Según su experiencia profesional, ¿qué cuestiones éticas cree que deberían considerarse al desarrollar o implementar este robot?",0.6097560975609756,character
a015_01,Performance Expectancy (PE): Consideraría útil al robot en mi trabajo.,0.5934959349593496,integer
a015_02,Performance Expectancy (PE): Usar el robot me permitiría realizar las tareas más rápidamente.,0.5934959349593496,integer
a015_03,Performance Expectancy (PE): Usar el robot aumentaría mi productividad.,0.5934959349593496,integer
a015_04,"Performance Expectancy (PE): Si usara el robot, tendría más posibilidades de recibir un aumento.",0.5934959349593496,integer
a016_01,Attitude Toward using Technology: Mi interacción con el robot sería clara y comprensible.,0.5934959349593496,integer
a016_02,Attitude Toward using Technology: El robot haría que el trabajo fuera más interesante.,0.5934959349593496,integer
a016_03,Attitude Toward using Technology: Trabajar con el robot sería divertido.,0.5934959349593496,integer
a016_04,Attitude Toward using Technology: Me gustaría trabajar con el robot.,0.5934959349593496,integer
a017_01,Self-Efficacy: Si no hubiera nadie cerca para decirme qué hacer mientras trabajo,0.5934959349593496,integer
a017_02,Self-Efficacy: Si pudiera llamar a alguien para pedir ayuda si me quedo atascado.,0.5934959349593496,integer
a017_03,Self-Efficacy: Si tengo mucho tiempo para completar el trabajo para el cual se proporcionó el robot.,0.5934959349593496,integer
a017_04,Self-Efficacy: Si solo tuviera la función de ayuda incorporada para recibir asistencia.,0.5934959349593496,integer
a018_01,Behavioral Intention: Tengo la intención de usar el robot en los próximos 12 meses.,0.5934959349593496,integer
a018_02,Behavioral Intention: Preveo que usaré el robot en los próximos 24 meses.,0.5934959349593496,integer
a018_03,Behavioral Intention: Planeo usar el robot en los próximos 24 meses.,0.5934959349593496,integer
a019_01,Moderating Effect Ethics: Poco ético/Ético,0.5934959349593496,integer
a019_02,Moderating Effect Ethics: Injusto/Justo,0.5934959349593496,integer
a019_03,Moderating Effect Ethics: No es moralmente correcto/Moralmente correcto,0.5934959349593496,integer
a019_04,Moderating Effect Ethics: No aceptable para mi familia/Aceptable para mi familia,0.5934959349593496,integer
